subject_ids,num_class,num_votes,agg_num_species,diff_species,choice,votes,propvote,propclass,med_count,min_count,max_count,behavior_CLIMBING,behavior_DIGGING,behavior_FLYING,behavior_FORAGINGEATING,behavior_INTERACTING,behavior_OTHER,behavior_SITTINGSTANDINGLYING,behavior_WALKINGRUNNING
31428334,3,3,1,1,NOTHINGHERE,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428335,4,4,1,1,SQUIRRELGRAY,4,1,1,1,1,1,0,0,0,0.25,0,0,0,1
31428336,3,3,1,2,SQUIRRELGRAY,2,0.666666667,0.666666667,1,1,1,0,0,0,0,0,0,0.5,0.5
31428337,4,4,1,1,SQUIRRELGRAY,4,1,1,1,1,1,0,0,0,0,0,0,0,1
31428338,2,2,1,1,PORCUPINE,2,1,1,1,1,1,0,0,0,0,0,0,0,1
31428339,6,6,1,1,PORCUPINE,6,1,1,1,1,1,0,0,0,0,0,0,0,1
31428340,3,3,1,1,SQUIRRELGRAY,3,1,1,1,1,1,0,0,0,0,0,0,0,1
31428341,6,6,1,1,SQUIRRELGRAY,6,1,1,1,1,1,0,0,0,0.5,0,0,0.5,0.833333333
31428342,3,3,1,1,PORCUPINE,3,1,1,1,1,1,0,0,0,0,0,0,0,1
31428343,1,1,1,1,NOTHINGHERE,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428344,5,5,1,1,SQUIRRELGRAY,5,1,1,1,1,1,0,0,0,0.2,0,0,0.2,0.6
31428345,4,4,1,1,SQUIRRELGRAY,4,1,1,1,1,1,0,0,0,0.75,0,0,0,0.75
31428346,3,3,1,1,SQUIRRELGRAY,3,1,1,1,1,1,0,0,0,1,0,0,0.333333333,0
31428347,2,2,1,2,SQUIRRELGRAY,1,0.5,0.5,1,1,1,0,0,0,0,0,0,0,1
31428348,4,4,1,1,SQUIRRELGRAY,4,1,1,1,1,1,1,0,0,0,0,0,0,0
31428349,7,7,1,1,NOTHINGHERE,7,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428350,2,2,1,1,NOTHINGHERE,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428351,4,4,1,2,SQUIRRELGRAY,3,0.75,0.75,1,1,1,0,0,0,0,0,0,1,0
31428352,1,1,1,1,OTHERSMALLMAMMAL,1,1,1,1,1,1,0,0,0,0,0,0,0,1
31428353,5,5,1,1,PORCUPINE,5,1,1,1,1,1,0,0,0,0,0,0,0.4,0.6
31428354,2,2,1,1,SQUIRRELGRAY,2,1,1,1,1,1,0,0,0,1,0,0,0,0
31428355,3,3,1,3,NOTHINGHERE,1,0.333333333,0.333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428356,4,5,1,2,NOTHINGHERE,4,0.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428357,5,5,1,1,SQUIRRELGRAY,5,1,1,1,1,1,0,0,0,0.6,0,0,0.4,0.2
31428358,2,2,1,1,SQUIRRELGRAY,2,1,1,1,1,1,0,0,0,1,0,0,0.5,0.5
31428359,3,3,1,1,NOTHINGHERE,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428360,1,1,1,1,TURKEY,1,1,1,1,1,1,0,0,0,0,0,0,0,1
31428361,5,6,1,2,TURKEY,5,0.833333333,1,NA,NA,NA,0,0,0,0,0,0,0.25,0.75
31428362,3,3,1,1,BOBCAT,3,1,1,1,1,1,0,0,0,0,0,0,0,1
31428363,5,5,1,1,PORCUPINE,5,1,1,1,1,1,0,0,0,0,0,0,0,1
31428364,2,2,1,1,PORCUPINE,2,1,1,NA,NA,NA,0,0,0,0,0,0,0,1
31428365,4,4,1,2,SQUIRRELGRAY,3,0.75,0.75,1,1,1,0,0,0,0,0,0.333333333,0.333333333,0.666666667
31428366,1,1,1,1,NOTHINGHERE,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428367,4,5,1,2,NOTHINGHERE,4,0.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428368,3,3,1,1,PORCUPINE,3,1,1,NA,NA,NA,0,0,0,0.666666667,0,0.333333333,0,0
31428369,4,4,1,4,OTHERSMALLMAMMAL,1,0.25,0.25,1,1,1,0,0,0,0,0,0,0,1
31428370,4,4,1,1,WEASEL,4,1,1,1,1,1,0,0,0,0,0,0,0,1
31428371,3,3,1,1,SQUIRRELGRAY,3,1,1,1,1,1,0,0.333333333,0,0,0,0,0,0.666666667
31428372,5,5,1,1,SQUIRRELGRAY,5,1,1,1,1,1,0,0,0,0,0,0,0,1
31428373,8,8,1,2,GROUSERUFFED,7,0.875,0.875,1,1,1,0,0,0,0,0,0,0.714285714,0.428571429
31428374,5,5,1,3,FISHER,3,0.6,0.6,1,1,1,0,0,0,0,0,0.333333333,0.666666667,0
31428375,4,4,1,1,SQUIRRELGRAY,4,1,1,1,1,1,0,0,0,0.25,0,0,0,1
31428376,3,3,1,1,SQUIRRELGRAY,3,1,1,1,1,1,0,0,0,0,0,0,0,1
31428377,2,2,1,1,SQUIRRELGRAY,2,1,1,1,1,1,0,0,0,0.5,0,0,0,0.5
31428378,7,7,1,1,NOTHINGHERE,7,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428379,4,4,1,1,NOTHINGHERE,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428380,7,7,1,1,SQUIRRELGRAY,7,1,1,1,1,1,0,0,0,0,0,0,0,1
31428381,6,6,1,1,SQUIRRELGRAY,6,1,1,NA,NA,NA,0,0,0,0.333333333,0,0,0.5,0.333333333
31428382,4,4,1,2,SOMETHINGHERE,3,0.75,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428383,4,4,1,1,DEERWHITETAILED,4,1,1,1,1,1,0,0,0,1,0,0,0.5,0
31428384,3,3,1,1,DEERWHITETAILED,3,1,1,1,1,1,0,0,0,1,0,0,0.666666667,0
31428385,2,2,1,1,DEERWHITETAILED,2,1,1,1,1,1,0,0,0,1,0,0,0,0
31428386,4,4,1,1,DEERWHITETAILED,4,1,1,1,1,1,0,0,0,0.25,0,0,0.5,0.25
31428387,4,4,1,3,SOMETHINGHERE,2,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428388,4,4,1,1,SQUIRRELGRAY,4,1,1,1,1,1,0,0,0,0,0,0,0,1
31428389,3,3,1,1,NOTHINGHERE,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428390,3,3,1,2,NOTHINGHERE,2,0.666666667,0.666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428391,5,5,1,2,NOTHINGHERE,3,0.6,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428392,2,2,1,1,SOMETHINGHERE,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428393,3,3,1,3,TURKEY,1,0.333333333,0.333333333,1,1,1,0,0,0,0,0,0,0,1
31428394,4,4,1,1,SQUIRRELGRAY,4,1,1,1,1,1,0,0,0,0.75,0,0,0,1
31428395,3,3,1,1,NOTHINGHERE,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428396,5,5,1,1,NOTHINGHERE,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428397,3,3,1,1,SQUIRRELGRAY,3,1,1,1,1,1,0,0,0,0,0,0,0.666666667,0.333333333
31428398,8,8,1,1,SQUIRRELGRAY,8,1,1,1,1,1,0,0,0,0.142857143,0,0,0.571428571,0.428571429
31428399,5,5,1,1,SQUIRRELGRAY,5,1,1,2,1,2,0,0,0,0.4,0.2,0,0.4,0.6
31428400,4,4,1,1,SQUIRRELGRAY,4,1,1,1,1,1,0,0.25,0,0.5,0,0,0,0.5
31428401,4,4,1,1,NOTHINGHERE,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428402,6,6,1,1,NOTHINGHERE,6,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428403,5,5,1,1,NOTHINGHERE,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428404,1,1,1,1,NOTHINGHERE,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428405,2,2,1,1,NOTHINGHERE,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428406,5,5,1,1,NOTHINGHERE,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428407,3,3,1,1,NOTHINGHERE,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428408,4,4,1,1,NOTHINGHERE,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428409,2,2,1,1,SOMETHINGHERE,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428410,8,8,1,2,DEERWHITETAILED,4,0.5,0.5,1,1,1,0,0,0,0.666666667,0,0,0,0.666666667
31428411,5,5,1,1,NOTHINGHERE,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428412,6,6,1,1,NOTHINGHERE,6,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428413,3,3,1,2,RACCOON,2,0.666666667,0.666666667,1,1,1,0,0,0,0,0,0,0,1
31428414,3,3,1,1,DEERWHITETAILED,3,1,1,1,1,1,0,0,0,0.666666667,0,0,0,1
31428415,5,5,1,1,DEERWHITETAILED,5,1,1,1,1,1,0,0,0,0.8,0,0,0,0.6
31428416,3,3,1,1,NOTHINGHERE,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428417,6,6,1,1,DEERWHITETAILED,6,1,1,1,1,1,0,0,0,0,0,0,0.666666667,0.333333333
31428418,6,6,1,1,DEERWHITETAILED,6,1,1,1,1,1,0,0,0,0,0,0,0,1
31428419,7,7,1,1,DEERWHITETAILED,7,1,1,NA,NA,NA,0,0,0,0.166666667,0,0,0,1
31428420,5,5,1,1,DEERWHITETAILED,5,1,1,1,1,1,0,0,0,0,0,0,0,1
31428421,4,4,1,1,DEERWHITETAILED,4,1,1,1,1,1,0,0,0,0,0,0,0,1
31428422,4,4,1,1,DEERWHITETAILED,4,1,1,1,1,1,0,0,0,0,0,0,0,1
31428423,3,3,1,1,NOTHINGHERE,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428424,4,4,1,1,DEERWHITETAILED,4,1,1,1,1,1,0,0,0,0,0,0,0,1
31428425,2,2,1,1,DEERWHITETAILED,2,1,1,1,1,1,0,0,0,0,0,0,0,1
31428426,2,2,1,1,DEERWHITETAILED,2,1,1,1,1,1,0,0,0,0,0,0,0,1
31428427,4,4,1,1,DEERWHITETAILED,4,1,1,1,1,1,0,0,0,0.5,0,0,0,0.5
31428428,4,4,1,1,DEERWHITETAILED,4,1,1,2,2,2,0,0,0,0,0,0,0,1
31428429,6,6,1,1,DEERWHITETAILED,6,1,1,4,2,4,0,0,0,0,0,0,0,1
31428430,4,4,1,2,SOMETHINGHERE,3,0.75,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428431,5,5,1,1,DEERWHITETAILED,5,1,1,1,1,1,0,0,0,0,0,0,0,1
31428432,3,3,1,1,RACCOON,3,1,1,1,1,1,0,0,0,0,0,0,0,1
31428433,4,4,1,3,NOTHINGHERE,2,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428434,6,6,1,1,NOTHINGHERE,6,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428435,2,2,1,1,NOTHINGHERE,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428436,3,3,1,1,NOTHINGHERE,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428437,5,5,1,1,COYOTE,5,1,1,1,1,1,0,0,0,0,0,0,0.2,0.8
31428438,4,4,1,1,DEERWHITETAILED,4,1,1,1,1,1,0,0,0,0,0,0,0,1
31428439,2,2,1,1,NOTHINGHERE,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428440,4,4,1,1,DEERWHITETAILED,4,1,1,1,1,1,0,0,0,0,0,0,0,1
31428441,7,7,1,1,DEERWHITETAILED,7,1,1,1,1,1,0,0,0,0,0,0,0,1
31428442,7,7,1,5,FOXRED,2,0.285714286,0.285714286,1,1,1,0,0,0,0,0,0,0,1
31428443,7,7,1,2,NOTHINGHERE,6,0.857142857,0.857142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428444,1,1,1,1,DEERWHITETAILED,1,1,1,1,1,1,0,0,0,0,0,0,0,1
31428445,3,3,1,2,GROUSERUFFED,2,0.666666667,0.666666667,1,1,1,0,0,0,0,0,0,0,1
31428446,4,4,1,1,FOXRED,4,1,1,1,1,1,0,0,0,0,0,0,0,1
31428447,3,3,1,1,NOTHINGHERE,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428448,6,6,1,3,DEERWHITETAILED,3,0.5,0.5,1,1,1,0,0,0,0,0,0,0,1
31428449,5,5,1,1,HUMAN,5,1,1,NA,NA,NA,0,0,0,0,0,0,0,1
31428450,3,3,1,1,DEERWHITETAILED,3,1,1,NA,NA,NA,0,0,0,0,0,0,0,1
31428451,3,3,1,1,DEERWHITETAILED,3,1,1,1,1,1,0,0,0,0,0,0,0,1
31428452,2,2,1,1,DEERWHITETAILED,2,1,1,1,1,1,0,0,0,0,0,0,1,0
31428454,3,3,1,1,HUMAN,3,1,1,NA,NA,NA,0,0,0,0,0,0.666666667,0,0.666666667
31428455,5,5,1,1,DEERWHITETAILED,5,1,1,1,1,1,0,0,0,0,0,0,0,1
31428456,6,6,1,1,HUMAN,6,1,1,NA,NA,NA,0,0,0,0,0,0,0,1
31428457,2,2,1,1,DEERWHITETAILED,2,1,1,1,1,1,0,0,0,0,0,0,0,1
31428458,1,1,1,1,DEERWHITETAILED,1,1,1,1,1,1,0,0,0,0,0,0,0,1
31428459,6,6,1,1,NOTHINGHERE,6,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428460,6,6,1,3,COYOTE,4,0.666666667,0.666666667,1,1,1,0,0,0,0,0,0,0,1
31428461,4,4,1,2,DEERWHITETAILED,3,0.75,0.75,1,1,1,0,0,0,0,0,0,0,1
31428462,5,5,1,1,DEERWHITETAILED,5,1,1,1,1,1,0,0,0,0,0,0,0,1
31428463,7,7,1,1,DEERWHITETAILED,7,1,1,1,1,1,0,0,0,0,0.285714286,0,0.285714286,1
31428464,3,3,1,1,DEERWHITETAILED,3,1,1,1,1,1,0,0,0,0,0,0,1,0
31428465,4,4,1,3,DEERWHITETAILED,2,0.5,0.5,1,1,1,0,0,0,0,0,0,0,1
31428466,2,2,1,1,DEERWHITETAILED,2,1,1,1,1,1,0,0,0,1,0,0,0,0.5
31428467,3,3,1,2,SOMETHINGHERE,2,0.666666667,0.666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428468,4,4,1,3,DEERWHITETAILED,2,0.5,0.5,1,1,1,0,0,0,0.5,0,0,0,1
31428469,5,5,1,1,DEERWHITETAILED,5,1,1,1,1,2,0,0,0,0.6,0,0,0.6,0.2
31428470,4,4,1,1,DEERWHITETAILED,4,1,1,1,1,1,0,0,0,0,0,0,0.75,0.25
31428471,2,2,1,1,DEERWHITETAILED,2,1,1,1,1,1,0,0,0,1,0,0,0.5,0
31428472,6,6,1,1,DEERWHITETAILED,6,1,1,1,1,1,0,0,0,0.666666667,0,0,0.5,0.166666667
31428473,6,6,1,1,NOTHINGHERE,6,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428474,3,3,1,1,DEERWHITETAILED,3,1,1,NA,NA,NA,0,0,0,0,0,0,0.666666667,0.333333333
31428475,5,5,1,1,DEERWHITETAILED,5,1,1,1,1,1,0,0,0,0,0,0,0,1
31428476,5,5,1,1,DEERWHITETAILED,5,1,1,1,1,1,0,0,0,0,0,0,0,1
31428477,6,6,1,1,DEERWHITETAILED,6,1,1,1,1,1,0,0,0,0.5,0,0,0,0.833333333
31428478,3,3,1,1,DEERWHITETAILED,3,1,1,2,2,2,0,0,0,0.333333333,0,0,0,0.666666667
31428479,4,4,1,1,DEERWHITETAILED,4,1,1,1,1,1,0,0,0,0,0,0,0,1
31428480,7,7,1,1,DEERWHITETAILED,7,1,1,NA,NA,NA,0,0,0,0,0,0,0,1
31428481,5,5,1,1,DEERWHITETAILED,5,1,1,1,1,1,0,0,0,0,0,0,0,1
31428482,4,4,1,1,DEERWHITETAILED,4,1,1,1,1,1,0,0,0,0,0,0,0,1
31428483,5,5,1,1,DEERWHITETAILED,5,1,1,1,1,1,0,0,0,0,0,0,0,1
31428484,4,4,1,1,DEERWHITETAILED,4,1,1,1,1,1,0,0,0,0,0,0,0,1
31428485,8,8,1,1,COYOTE,8,1,1,1,1,1,0,0,0,0,0,0,0,1
31428486,4,4,1,1,DEERWHITETAILED,4,1,1,1,1,1,0,0,0,0,0,0,0,1
31428487,3,3,1,1,DEERWHITETAILED,3,1,1,1,1,1,0,0,0,0,0,0,0,1
31428488,4,4,1,2,DEERWHITETAILED,3,0.75,0.75,1,1,1,0,0,0,1,0,0,0.333333333,0
31428489,3,3,1,1,DEERWHITETAILED,3,1,1,1,1,1,0,0,0,0.666666667,0,0,0.333333333,0
31428490,3,3,1,1,DEERWHITETAILED,3,1,1,1,1,1,0,0,0,0.333333333,0,0,0.666666667,0
31428491,7,7,1,1,TURKEY,7,1,1,1,1,1,0,0,0,0.142857143,0,0,0,0.857142857
31428492,4,4,1,1,SOMETHINGHERE,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428493,4,4,1,1,DEERWHITETAILED,4,1,1,1,1,1,0,0,0,0,0,0,0,1
31428494,5,5,1,1,DEERWHITETAILED,5,1,1,1,1,1,0,0,0,0,0,0,0,1
31428495,4,4,1,1,DEERWHITETAILED,4,1,1,1,1,1,0,0,0,0.5,0,0,0,1
31428496,6,6,1,1,DEERWHITETAILED,6,1,1,1,1,1,0,0,0,0,0,0,0,1
31428497,5,5,1,1,NOTHINGHERE,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428498,2,2,1,1,DEERWHITETAILED,2,1,1,1,1,1,0,0,0,0,0,0,0,1
31428499,4,4,1,2,SOMETHINGHERE,3,0.75,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428500,4,4,1,1,DEERWHITETAILED,4,1,1,1,1,1,0,0,0,0.25,0,0,0,1
31428501,2,2,1,1,DEERWHITETAILED,2,1,1,1,1,1,0,0,0,0,0,0,0,1
31428502,5,5,1,1,DEERWHITETAILED,5,1,1,1,1,1,0,0,0,0.4,0,0,0,1
31428503,1,1,1,1,NOTHINGHERE,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428504,3,3,1,1,DEERWHITETAILED,3,1,1,1,1,1,0,0,0,0,0,0,0,1
31428505,4,4,1,1,DEERWHITETAILED,4,1,1,1,1,1,0,0,0,0,0,0,0,1
31428506,3,3,1,1,DEERWHITETAILED,3,1,1,2,2,2,0,0,0,0.333333333,0,0,0.666666667,1
31428507,4,4,1,1,DEERWHITETAILED,4,1,1,1,1,1,0,0,0,0,0,0,0,1
31428508,6,6,1,1,DEERWHITETAILED,6,1,1,1,1,1,0,0,0,0,0,0,0,1
31428509,3,3,1,1,DEERWHITETAILED,3,1,1,1,1,1,0,0,0,0,0,0,0,1
31428510,1,1,1,1,DEERWHITETAILED,1,1,1,1,1,1,0,0,0,0,0,0,0,1
31428511,5,5,1,1,DEERWHITETAILED,5,1,1,1,1,1,0,0,0,0,0,0,0,1
31428512,3,3,1,1,DEERWHITETAILED,3,1,1,1,1,1,0,0,0,0,0,0,0,1
31428513,5,5,1,2,SOMETHINGHERE,4,0.8,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428514,7,7,1,1,DEERWHITETAILED,7,1,1,1,1,1,0,0,0,0.142857143,0,0,0,1
31428515,2,2,1,1,DEERWHITETAILED,2,1,1,1,1,1,0,0,0,0,0,0,0,1
31428516,6,6,1,1,NOTHINGHERE,6,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428517,4,4,1,1,DEERWHITETAILED,4,1,1,1,1,1,0,0,0,0.25,0,0,0,0.75
31428518,5,5,1,1,NOTHINGHERE,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31428519,4,4,1,1,DEERWHITETAILED,4,1,1,1,1,1,0,0,0,0.25,0,0,0,1
31428520,4,5,1,3,DEERWHITETAILED,2,0.4,0.5,1,1,1,0,0,0,0,0,0,1,0
31428521,3,3,1,1,DEERWHITETAILED,3,1,1,1,1,1,0,0,0,0,0,0,0,1
31428522,2,2,1,1,DEERWHITETAILED,2,1,1,1,1,1,0,0,0,0.5,0,0,0,1
31428523,2,2,1,1,DEERWHITETAILED,2,1,1,1,1,1,0,0,0,0,0,0,0,1
31428524,5,5,1,1,DEERWHITETAILED,5,1,1,1,1,1,0,0,0,0,0,0,0,1
31428525,2,2,1,1,DEERWHITETAILED,2,1,1,1,1,1,0,0,0,0.5,0,0,0.5,0.5
31428526,4,4,1,1,DEERWHITETAILED,4,1,1,1,1,1,0,0,0,0,0,0,0,1
31428527,3,3,1,1,DEERWHITETAILED,3,1,1,1,1,1,0,0,0,0,0,0,0,1
31428528,4,4,1,1,DEERWHITETAILED,4,1,1,2,2,2,0,0,0,0.75,0,0,0.25,1
31428529,4,4,1,1,DEERWHITETAILED,4,1,1,1,1,1,0,0,0,0.25,0,0,0.75,0
31428530,6,6,1,1,DEERWHITETAILED,6,1,1,2,2,2,0,0,0,0,0,0,0,1
