ID,Image1,Image2,Image3,!Round,!Batch,#ForestName,!ForestType,#CamNumber,#SDCardNum,#DeploymentDate,#PickUpDate,#CamOrient,!TreeSpecies,#LandType
390,04_26_WF_000028.JPG,04_26_WF_000029.JPG,04_26_WF_000030.JPG,1,1,WF,Pine ,,,,,,,
452,04_26_WF_000031.JPG,04_26_WF_000032.JPG,04_26_WF_000033.JPG,1,1,WF,Pine ,,,,,,,
455,04_26_WF_000034.JPG,04_26_WF_000035.JPG,04_26_WF_000036.JPG,1,1,WF,Pine ,,,,,,,
456,04_26_WF_000037.JPG,04_26_WF_000038.JPG,04_26_WF_000039.JPG,1,1,WF,Pine ,,,,,,,
475,04_26_WF_000040.JPG,04_26_WF_000041.JPG,04_26_WF_000042.JPG,1,1,WF,Pine ,,,,,,,
499,04_26_WF_000043.JPG,04_26_WF_000044.JPG,04_26_WF_000045.JPG,1,1,WF,Pine ,,,,,,,
551,04_26_WF_000046.JPG,04_26_WF_000047.JPG,04_26_WF_000048.JPG,1,1,WF,Pine ,,,,,,,
598,04_26_WF_000049.JPG,04_26_WF_000050.JPG,04_26_WF_000051.JPG,1,1,WF,Pine ,,,,,,,
93,08_23_DEG_000001.JPG,08_23_DEG_000002.JPG,08_23_DEG_000003.JPG,1,1,DEG,Pine ,,,,,,,
94,08_23_DEG_000004.JPG,08_23_DEG_000005.JPG,08_23_DEG_000006.JPG,1,1,DEG,Pine ,,,,,,,
105,08_23_DEG_000007.JPG,08_23_DEG_000008.JPG,08_23_DEG_000009.JPG,1,1,DEG,Pine ,,,,,,,
124,08_23_DEG_000010.JPG,08_23_DEG_000011.JPG,08_23_DEG_000012.JPG,1,1,DEG,Pine ,,,,,,,
125,08_23_DEG_000013.JPG,08_23_DEG_000014.JPG,08_23_DEG_000015.JPG,1,1,DEG,Pine ,,,,,,,
121,09_25_WF_000001.JPG,09_25_WF_000002.JPG,09_25_WF_000003.JPG,1,1,WF,Pine ,,,,,,,
165,09_25_WF_000004.JPG,09_25_WF_000005.JPG,09_25_WF_000006.JPG,1,1,WF,Pine ,,,,,,,
33,11_13_BC_000002.JPG,11_13_BC_000001.JPG,11_13_BC_000003.JPG,1,1,BC,Deciduous ,,,,,,,
34,11_13_BC_000004.JPG,11_13_BC_000005.JPG,11_13_BC_000006.JPG,1,1,BC,Deciduous ,,,,,,,
54,11_13_BC_000007.JPG,11_13_BC_000008.JPG,11_13_BC_000009.JPG,1,1,BC,Deciduous ,,,,,,,
55,11_13_BC_000010.JPG,11_13_BC_000011.JPG,11_13_BC_000012.JPG,1,1,BC,Deciduous ,,,,,,,
56,11_13_BC_000013.JPG,11_13_BC_000014.JPG,11_13_BC_000015.JPG,1,1,BC,Deciduous ,,,,,,,
64,11_13_BC_000016.JPG,11_13_BC_000017.JPG,11_13_BC_000018.JPG,1,1,BC,Deciduous ,,,,,,,
77,11_13_BC_000019.JPG,11_13_BC_000020.JPG,11_13_BC_000021.JPG,1,1,BC,Deciduous ,,,,,,,
79,11_13_BC_000022.JPG,11_13_BC_000023.JPG,11_13_BC_000024.JPG,1,1,BC,Deciduous ,,,,,,,
80,11_13_BC_000025.JPG,11_13_BC_000026.JPG,11_13_BC_000027.JPG,1,1,BC,Deciduous ,,,,,,,
81,11_13_BC_000028.JPG,11_13_BC_000029.JPG,11_13_BC_000030.JPG,1,1,BC,Deciduous ,,,,,,,
85,11_13_BC_000031.JPG,11_13_BC_000032.JPG,11_13_BC_000033.JPG,1,1,BC,Deciduous ,,,,,,,
86,11_13_BC_000034.JPG,11_13_BC_000035.JPG,11_13_BC_000036.JPG,1,1,BC,Deciduous ,,,,,,,
87,11_13_BC_000037.JPG,11_13_BC_000038.JPG,11_13_BC_000039.JPG,1,1,BC,Deciduous ,,,,,,,
89,11_13_BC_000040.JPG,11_13_BC_000041.JPG,11_13_BC_000042.JPG,1,1,BC,Deciduous ,,,,,,,
90,11_13_BC_000043.JPG,11_13_BC_000044.JPG,11_13_BC_000045.JPG,1,1,BC,Deciduous ,,,,,,,
91,11_13_BC_000046.JPG,11_13_BC_000047.JPG,11_13_BC_000048.JPG,1,1,BC,Deciduous ,,,,,,,
92,11_13_BC_000049.JPG,11_13_BC_000050.JPG,11_13_BC_000051.JPG,1,1,BC,Deciduous ,,,,,,,
95,11_13_BC_000052.JPG,11_13_BC_000053.JPG,11_13_BC_000054.JPG,1,1,BC,Deciduous ,,,,,,,
96,11_13_BC_000055.JPG,11_13_BC_000056.JPG,11_13_BC_000057.JPG,1,1,BC,Deciduous ,,,,,,,
109,11_13_BC_000058.JPG,11_13_BC_000059.JPG,11_13_BC_000060.JPG,1,1,BC,Deciduous ,,,,,,,
122,11_13_BC_000061.JPG,11_13_BC_000062.JPG,11_13_BC_000063.JPG,1,1,BC,Deciduous ,,,,,,,
133,11_13_BC_000064.JPG,11_13_BC_000065.JPG,11_13_BC_000066.JPG,1,1,BC,Deciduous ,,,,,,,
134,11_13_BC_000067.JPG,11_13_BC_000068.JPG,11_13_BC_000069.JPG,1,1,BC,Deciduous ,,,,,,,
136,11_13_BC_000070.JPG,11_13_BC_000071.JPG,11_13_BC_000072.JPG,1,1,BC,Deciduous ,,,,,,,
161,11_13_BC_000073.JPG,11_13_BC_000074.JPG,11_13_BC_000075.JPG,1,1,BC,Deciduous ,,,,,,,
164,11_13_BC_000076.JPG,11_13_BC_000077.JPG,11_13_BC_000078.JPG,1,1,BC,Deciduous ,,,,,,,
175,11_13_BC_000079.JPG,11_13_BC_000080.JPG,11_13_BC_000081.JPG,1,1,BC,Deciduous ,,,,,,,
203,11_13_BC_000082.JPG,11_13_BC_000083.JPG,11_13_BC_000084.JPG,1,1,BC,Deciduous ,,,,,,,
213,11_13_BC_000085.JPG,11_13_BC_000086.JPG,11_13_BC_000087.JPG,1,1,BC,Deciduous ,,,,,,,
231,11_13_BC_000088.JPG,11_13_BC_000089.JPG,11_13_BC_000090.JPG,1,1,BC,Deciduous ,,,,,,,
241,11_13_BC_000091.JPG,11_13_BC_000092.JPG,11_13_BC_000093.JPG,1,1,BC,Deciduous ,,,,,,,
242,11_13_BC_000094.JPG,11_13_BC_000095.JPG,11_13_BC_000096.JPG,1,1,BC,Deciduous ,,,,,,,
244,11_13_BC_000097.JPG,11_13_BC_000098.JPG,11_13_BC_000099.JPG,1,1,BC,Deciduous ,,,,,,,
249,11_13_BC_000100.JPG,11_13_BC_000101.JPG,11_13_BC_000102.JPG,1,1,BC,Deciduous ,,,,,,,
250,11_13_BC_000103.JPG,11_13_BC_000104.JPG,11_13_BC_000105.JPG,1,1,BC,Deciduous ,,,,,,,
251,11_13_BC_000106.JPG,11_13_BC_000107.JPG,11_13_BC_000108.JPG,1,1,BC,Deciduous ,,,,,,,
252,11_13_BC_000109.JPG,11_13_BC_000110.JPG,11_13_BC_000111.JPG,1,1,BC,Deciduous ,,,,,,,
264,11_13_BC_000112.JPG,11_13_BC_000113.JPG,11_13_BC_000114.JPG,1,1,BC,Deciduous ,,,,,,,
278,11_13_BC_000115.JPG,11_13_BC_000116.JPG,11_13_BC_000117.JPG,1,1,BC,Deciduous ,,,,,,,
306,11_13_BC_000121.JPG,11_13_BC_000122.JPG,11_13_BC_000123.JPG,1,1,BC,Deciduous ,,,,,,,
318,11_13_BC_000124.JPG,11_13_BC_000125.JPG,11_13_BC_000126.JPG,1,1,BC,Deciduous ,,,,,,,
323,11_13_BC_000127.JPG,11_13_BC_000128.JPG,11_13_BC_000129.JPG,1,1,BC,Deciduous ,,,,,,,
336,11_13_BC_000130.JPG,11_13_BC_000131.JPG,11_13_BC_000132.JPG,1,1,BC,Deciduous ,,,,,,,
363,11_13_BC_000133.JPG,11_13_BC_000134.JPG,11_13_BC_000135.JPG,1,1,BC,Deciduous ,,,,,,,
366,11_13_BC_000136.JPG,11_13_BC_000137.JPG,11_13_BC_000138.JPG,1,1,BC,Deciduous ,,,,,,,
381,11_13_BC_000139.JPG,11_13_BC_000140.JPG,11_13_BC_000141.JPG,1,1,BC,Deciduous ,,,,,,,
385,11_13_BC_000142.JPG,11_13_BC_000143.JPG,11_13_BC_000144.JPG,1,1,BC,Deciduous ,,,,,,,
420,11_13_BC_000145.JPG,11_13_BC_000146.JPG,11_13_BC_000147.JPG,1,1,BC,Deciduous ,,,,,,,
485,11_13_BC_000148.JPG,11_13_BC_000149.JPG,11_13_BC_000150.JPG,1,1,BC,Deciduous ,,,,,,,
486,11_13_BC_000151.JPG,11_13_BC_000152.JPG,11_13_BC_000153.JPG,1,1,BC,Deciduous ,,,,,,,
500,11_13_BC_000154.JPG,11_13_BC_000155.JPG,11_13_BC_000156.JPG,1,1,BC,Deciduous ,,,,,,,
510,11_13_BC_000157.JPG,11_13_BC_000158.JPG,11_13_BC_000159.JPG,1,1,BC,Deciduous ,,,,,,,
526,11_13_BC_000160.JPG,11_13_BC_000161.JPG,11_13_BC_000162.JPG,1,1,BC,Deciduous ,,,,,,,
560,11_13_BC_000163.JPG,11_13_BC_000164.JPG,11_13_BC_000165.JPG,1,1,BC,Deciduous ,,,,,,,
568,11_13_BC_000166.JPG,11_13_BC_000167.JPG,11_13_BC_000168.JPG,1,1,BC,Deciduous ,,,,,,,
569,11_13_BC_000169.JPG,11_13_BC_000170.JPG,11_13_BC_000171.JPG,1,1,BC,Deciduous ,,,,,,,
629,11_13_BC_000172.JPG,11_13_BC_000173.JPG,11_13_BC_000174.JPG,1,1,BC,Deciduous ,,,,,,,
630,11_13_BC_000175.JPG,11_13_BC_000176.JPG,11_13_BC_000177.JPG,1,1,BC,Deciduous ,,,,,,,
691,11_13_BC_000178.JPG,11_13_BC_000179.JPG,11_13_BC_000180.JPG,1,1,BC,Deciduous ,,,,,,,
802,11_13_BC_000181.JPG,11_13_BC_000182.JPG,11_13_BC_000183.JPG,1,1,BC,Deciduous ,,,,,,,
892,11_13_BC_000184.JPG,11_13_BC_000185.JPG,11_13_BC_000186.JPG,1,1,BC,Deciduous ,,,,,,,
894,11_13_BC_000187.JPG,11_13_BC_000188.JPG,11_13_BC_000189.JPG,1,1,BC,Deciduous ,,,,,,,
895,11_13_BC_000190.JPG,11_13_BC_000191.JPG,11_13_BC_000192.JPG,1,1,BC,Deciduous ,,,,,,,
896,11_13_BC_000193.JPG,11_13_BC_000194.JPG,11_13_BC_000195.JPG,1,1,BC,Deciduous ,,,,,,,
897,11_13_BC_000196.JPG,11_13_BC_000197.JPG,11_13_BC_000198.JPG,1,1,BC,Deciduous ,,,,,,,
898,11_13_BC_000199.JPG,11_13_BC_000200.JPG,11_13_BC_000201.JPG,1,1,BC,Deciduous ,,,,,,,
899,11_13_BC_000202.JPG,11_13_BC_000203.JPG,11_13_BC_000204.JPG,1,1,BC,Deciduous ,,,,,,,
900,11_13_BC_000205.JPG,11_13_BC_000206.JPG,11_13_BC_000207.JPG,1,1,BC,Deciduous ,,,,,,,
901,11_13_BC_000208.JPG,11_13_BC_000209.JPG,11_13_BC_000210.JPG,1,1,BC,Deciduous ,,,,,,,
902,11_13_BC_000211.JPG,11_13_BC_000212.JPG,11_13_BC_000213.JPG,1,1,BC,Deciduous ,,,,,,,
903,11_13_BC_000214.JPG,11_13_BC_000215.JPG,11_13_BC_000216.JPG,1,1,BC,Deciduous ,,,,,,,
904,11_13_BC_000217.JPG,11_13_BC_000218.JPG,11_13_BC_000219.JPG,1,1,BC,Deciduous ,,,,,,,
905,11_13_BC_000220.JPG,11_13_BC_000221.JPG,11_13_BC_000222.JPG,1,1,BC,Deciduous ,,,,,,,
908,11_13_BC_000223.JPG,11_13_BC_000224.JPG,11_13_BC_000225.JPG,1,1,BC,Deciduous ,,,,,,,
910,11_13_BC_000226.JPG,11_13_BC_000227.JPG,11_13_BC_000228.JPG,1,1,BC,Deciduous ,,,,,,,
911,11_13_BC_000229.JPG,11_13_BC_000230.JPG,11_13_BC_000231.JPG,1,1,BC,Deciduous ,,,,,,,
912,11_13_BC_000232.JPG,11_13_BC_000233.JPG,11_13_BC_000234.JPG,1,1,BC,Deciduous ,,,,,,,
917,11_13_BC_000235.JPG,11_13_BC_000236.JPG,11_13_BC_000237.JPG,1,1,BC,Deciduous ,,,,,,,
918,11_13_BC_000238.JPG,11_13_BC_000239.JPG,11_13_BC_000240.JPG,1,1,BC,Deciduous ,,,,,,,
919,11_13_BC_000241.JPG,11_13_BC_000242.JPG,11_13_BC_000243.JPG,1,1,BC,Deciduous ,,,,,,,
920,11_13_BC_000244.JPG,11_13_BC_000245.JPG,11_13_BC_000246.JPG,1,1,BC,Deciduous ,,,,,,,
921,11_13_BC_000247.JPG,11_13_BC_000248.JPG,11_13_BC_000249.JPG,1,1,BC,Deciduous ,,,,,,,
922,11_13_BC_000250.JPG,11_13_BC_000251.JPG,11_13_BC_000252.JPG,1,1,BC,Deciduous ,,,,,,,
923,11_13_BC_000253.JPG,11_13_BC_000254.JPG,11_13_BC_000255.JPG,1,1,BC,Deciduous ,,,,,,,
924,11_13_BC_000256.JPG,11_13_BC_000257.JPG,11_13_BC_000258.JPG,1,1,BC,Deciduous ,,,,,,,
925,11_13_BC_000259.JPG,11_13_BC_000260.JPG,11_13_BC_000261.JPG,1,1,BC,Deciduous ,,,,,,,
927,11_13_BC_000262.JPG,11_13_BC_000263.JPG,11_13_BC_000264.JPG,1,1,BC,Deciduous ,,,,,,,
928,11_13_BC_000265.JPG,11_13_BC_000266.JPG,11_13_BC_000267.JPG,1,1,BC,Deciduous ,,,,,,,
929,11_13_BC_000268.JPG,11_13_BC_000269.JPG,11_13_BC_000270.JPG,1,1,BC,Deciduous ,,,,,,,
930,11_13_BC_000271.JPG,11_13_BC_000272.JPG,11_13_BC_000273.JPG,1,1,BC,Deciduous ,,,,,,,
931,11_13_BC_000274.JPG,11_13_BC_000275.JPG,11_13_BC_000276.JPG,1,1,BC,Deciduous ,,,,,,,
932,11_13_BC_000277.JPG,11_13_BC_000278.JPG,11_13_BC_000279.JPG,1,1,BC,Deciduous ,,,,,,,
933,11_13_BC_000280.JPG,11_13_BC_000281.JPG,11_13_BC_000282.JPG,1,1,BC,Deciduous ,,,,,,,
934,11_13_BC_000283.JPG,11_13_BC_000284.JPG,11_13_BC_000285.JPG,1,1,BC,Deciduous ,,,,,,,
257,14_22_DON_000001.JPG,14_22_DON_000002.JPG,14_22_DON_000003.JPG,1,1,DON,Deciduous ,,,,,,,
258,14_22_DON_000004.JPG,14_22_DON_000005.JPG,14_22_DON_000006.JPG,1,1,DON,Deciduous ,,,,,,,
273,14_22_DON_000007.JPG,14_22_DON_000008.JPG,14_22_DON_000009.JPG,1,1,DON,Deciduous ,,,,,,,
274,14_22_DON_000010.JPG,14_22_DON_000011.JPG,14_22_DON_000012.JPG,1,1,DON,Deciduous ,,,,,,,
281,14_22_DON_000013.JPG,14_22_DON_000014.JPG,14_22_DON_000015.JPG,1,1,DON,Deciduous ,,,,,,,
310,14_22_DON_000016.JPG,14_22_DON_000017.JPG,14_22_DON_000018.JPG,1,1,DON,Deciduous ,,,,,,,
315,14_22_DON_000019.JPG,14_22_DON_000020.JPG,14_22_DON_000021.JPG,1,1,DON,Deciduous ,,,,,,,
316,14_22_DON_000022.JPG,14_22_DON_000023.JPG,14_22_DON_000024.JPG,1,1,DON,Deciduous ,,,,,,,
328,14_22_DON_000025.JPG,14_22_DON_000026.JPG,14_22_DON_000027.JPG,1,1,DON,Deciduous ,,,,,,,
340,14_22_DON_000028.JPG,14_22_DON_000029.JPG,14_22_DON_000030.JPG,1,1,DON,Deciduous ,,,,,,,
343,14_22_DON_000031.JPG,14_22_DON_000032.JPG,14_22_DON_000033.JPG,1,1,DON,Deciduous ,,,,,,,
345,14_22_DON_000034.JPG,14_22_DON_000035.JPG,14_22_DON_000036.JPG,1,1,DON,Deciduous ,,,,,,,
350,14_22_DON_000037.JPG,14_22_DON_000038.JPG,14_22_DON_000039.JPG,1,1,DON,Deciduous ,,,,,,,
351,14_22_DON_000040.JPG,14_22_DON_000041.JPG,14_22_DON_000042.JPG,1,1,DON,Deciduous ,,,,,,,
353,14_22_DON_000043.JPG,14_22_DON_000044.JPG,14_22_DON_000045.JPG,1,1,DON,Deciduous ,,,,,,,
361,14_22_DON_000046.JPG,14_22_DON_000047.JPG,14_22_DON_000048.JPG,1,1,DON,Deciduous ,,,,,,,
380,14_22_DON_000049.JPG,14_22_DON_000050.JPG,14_22_DON_000051.JPG,1,1,DON,Deciduous ,,,,,,,
382,14_22_DON_000052.JPG,14_22_DON_000053.JPG,14_22_DON_000054.JPG,1,1,DON,Deciduous ,,,,,,,
416,14_22_DON_000055.JPG,14_22_DON_000056.JPG,14_22_DON_000057.JPG,1,1,DON,Deciduous ,,,,,,,
453,14_22_DON_000058.JPG,14_22_DON_000059.JPG,14_22_DON_000060.JPG,1,1,DON,Deciduous ,,,,,,,
457,14_22_DON_000061.JPG,14_22_DON_000062.JPG,14_22_DON_000063.JPG,1,1,DON,Deciduous ,,,,,,,
461,14_22_DON_000064.JPG,14_22_DON_000065.JPG,14_22_DON_000066.JPG,1,1,DON,Deciduous ,,,,,,,
494,14_22_DON_000067.JPG,14_22_DON_000068.JPG,14_22_DON_000069.JPG,1,1,DON,Deciduous ,,,,,,,
505,14_22_DON_000070.JPG,14_22_DON_000071.JPG,14_22_DON_000072.JPG,1,1,DON,Deciduous ,,,,,,,
582,14_22_DON_000073.JPG,14_22_DON_000074.JPG,14_22_DON_000075.JPG,1,1,DON,Deciduous ,,,,,,,
583,14_22_DON_000076.JPG,14_22_DON_000077.JPG,14_22_DON_000078.JPG,1,1,DON,Deciduous ,,,,,,,
619,14_22_DON_000079.JPG,14_22_DON_000080.JPG,14_22_DON_000081.JPG,1,1,DON,Deciduous ,,,,,,,
620,14_22_DON_000082.JPG,14_22_DON_000083.JPG,14_22_DON_000084.JPG,1,1,DON,Deciduous ,,,,,,,
627,14_22_DON_000085.JPG,14_22_DON_000086.JPG,14_22_DON_000087.JPG,1,1,DON,Deciduous ,,,,,,,
638,14_22_DON_000088.JPG,14_22_DON_000089.JPG,14_22_DON_000090.JPG,1,1,DON,Deciduous ,,,,,,,
663,14_22_DON_000091.JPG,14_22_DON_000092.JPG,14_22_DON_000093.JPG,1,1,DON,Deciduous ,,,,,,,
682,14_22_DON_000094.JPG,14_22_DON_000095.JPG,14_22_DON_000096.JPG,1,1,DON,Deciduous ,,,,,,,
683,14_22_DON_000097.JPG,14_22_DON_000098.JPG,14_22_DON_000099.JPG,1,1,DON,Deciduous ,,,,,,,
764,14_22_DON_000100.JPG,14_22_DON_000101.JPG,14_22_DON_000102.JPG,1,1,DON,Deciduous ,,,,,,,
814,14_22_DON_000103.JPG,14_22_DON_000104.JPG,14_22_DON_000105.JPG,1,1,DON,Deciduous ,,,,,,,
815,14_22_DON_000106.JPG,14_22_DON_000107.JPG,14_22_DON_000108.JPG,1,1,DON,Deciduous ,,,,,,,
833,14_22_DON_000109.JPG,14_22_DON_000110.JPG,14_22_DON_000111.JPG,1,1,DON,Deciduous ,,,,,,,
834,14_22_DON_000112.JPG,14_22_DON_000113.JPG,14_22_DON_000114.JPG,1,1,DON,Deciduous ,,,,,,,
860,14_22_DON_000115.JPG,14_22_DON_000116.JPG,14_22_DON_000117.JPG,1,1,DON,Deciduous ,,,,,,,
907,14_22_DON_000118.JPG,14_22_DON_000119.JPG,14_22_DON_000120.JPG,1,1,DON,Deciduous ,,,,,,,
916,14_22_DON_000121.JPG,14_22_DON_000122.JPG,14_22_DON_000123.JPG,1,1,DON,Deciduous ,,,,,,,
151,15_14_DEG_000002.JPG,15_14_DEG_000003.JPG,15_14_DEG_000001.JPG,1,1,DEG,Pine ,,,,,,,
191,15_14_DEG_000004.JPG,15_14_DEG_000005.JPG,15_14_DEG_000006.JPG,1,1,DEG,Pine ,,,,,,,
192,15_14_DEG_000007.JPG,15_14_DEG_000008.JPG,15_14_DEG_000009.JPG,1,1,DEG,Pine ,,,,,,,
201,15_14_DEG_000010.JPG,15_14_DEG_000011.JPG,15_14_DEG_000012.JPG,1,1,DEG,Pine ,,,,,,,
202,15_14_DEG_000013.JPG,15_14_DEG_000014.JPG,15_14_DEG_000015.JPG,1,1,DEG,Pine ,,,,,,,
227,15_14_DEG_000016.JPG,15_14_DEG_000017.JPG,15_14_DEG_000018.JPG,1,1,DEG,Pine ,,,,,,,
230,15_14_DEG_000019.JPG,15_14_DEG_000020.JPG,15_14_DEG_000021.JPG,1,1,DEG,Pine ,,,,,,,
234,15_14_DEG_000022.JPG,15_14_DEG_000023.JPG,15_14_DEG_000024.JPG,1,1,DEG,Pine ,,,,,,,
248,15_14_DEG_000025.JPG,15_14_DEG_000026.JPG,15_14_DEG_000027.JPG,1,1,DEG,Pine ,,,,,,,
266,15_14_DEG_000028.JPG,15_14_DEG_000029.JPG,15_14_DEG_000030.JPG,1,1,DEG,Pine ,,,,,,,
270,15_14_DEG_000031.JPG,15_14_DEG_000032.JPG,15_14_DEG_000033.JPG,1,1,DEG,Pine ,,,,,,,
292,15_14_DEG_000034.JPG,15_14_DEG_000035.JPG,15_14_DEG_000036.JPG,1,1,DEG,Pine ,,,,,,,
298,15_14_DEG_000037.JPG,15_14_DEG_000038.JPG,15_14_DEG_000039.JPG,1,1,DEG,Pine ,,,,,,,
300,15_14_DEG_000040.JPG,15_14_DEG_000041.JPG,15_14_DEG_000042.JPG,1,1,DEG,Pine ,,,,,,,
301,15_14_DEG_000043.JPG,15_14_DEG_000044.JPG,NA,1,1,DEG,Pine ,,,,,,,
325,15_14_DEG_000046.JPG,15_14_DEG_000047.JPG,15_14_DEG_000048.JPG,1,1,DEG,Pine ,,,,,,,
326,15_14_DEG_000049.JPG,15_14_DEG_000050.JPG,15_14_DEG_000051.JPG,1,1,DEG,Pine ,,,,,,,
327,15_14_DEG_000052.JPG,15_14_DEG_000053.JPG,15_14_DEG_000054.JPG,1,1,DEG,Pine ,,,,,,,
344,15_14_DEG_000055.JPG,15_14_DEG_000056.JPG,15_14_DEG_000057.JPG,1,1,DEG,Pine ,,,,,,,
346,15_14_DEG_000058.JPG,15_14_DEG_000059.JPG,15_14_DEG_000060.JPG,1,1,DEG,Pine ,,,,,,,
347,15_14_DEG_000061.JPG,15_14_DEG_000062.JPG,15_14_DEG_000063.JPG,1,1,DEG,Pine ,,,,,,,
348,15_14_DEG_000064.JPG,15_14_DEG_000065.JPG,15_14_DEG_000066.JPG,1,1,DEG,Pine ,,,,,,,
349,15_14_DEG_000067.JPG,15_14_DEG_000068.JPG,15_14_DEG_000069.JPG,1,1,DEG,Pine ,,,,,,,
352,15_14_DEG_000070.JPG,15_14_DEG_000071.JPG,15_14_DEG_000072.JPG,1,1,DEG,Pine ,,,,,,,
354,15_14_DEG_000073.JPG,15_14_DEG_000074.JPG,15_14_DEG_000075.JPG,1,1,DEG,Pine ,,,,,,,
355,15_14_DEG_000076.JPG,15_14_DEG_000077.JPG,15_14_DEG_000078.JPG,1,1,DEG,Pine ,,,,,,,
357,15_14_DEG_000079.JPG,15_14_DEG_000080.JPG,15_14_DEG_000081.JPG,1,1,DEG,Pine ,,,,,,,
358,15_14_DEG_000082.JPG,15_14_DEG_000083.JPG,15_14_DEG_000084.JPG,1,1,DEG,Pine ,,,,,,,
360,15_14_DEG_000085.JPG,15_14_DEG_000086.JPG,15_14_DEG_000087.JPG,1,1,DEG,Pine ,,,,,,,
364,15_14_DEG_000088.JPG,15_14_DEG_000089.JPG,15_14_DEG_000090.JPG,1,1,DEG,Pine ,,,,,,,
365,15_14_DEG_000091.JPG,15_14_DEG_000092.JPG,15_14_DEG_000093.JPG,1,1,DEG,Pine ,,,,,,,
371,15_14_DEG_000094.JPG,15_14_DEG_000095.JPG,15_14_DEG_000096.JPG,1,1,DEG,Pine ,,,,,,,
391,15_14_DEG_000097.JPG,15_14_DEG_000098.JPG,15_14_DEG_000099.JPG,1,1,DEG,Pine ,,,,,,,
392,15_14_DEG_000100.JPG,15_14_DEG_000101.JPG,15_14_DEG_000102.JPG,1,1,DEG,Pine ,,,,,,,
399,15_14_DEG_000103.JPG,15_14_DEG_000104.JPG,15_14_DEG_000105.JPG,1,1,DEG,Pine ,,,,,,,
411,15_14_DEG_000106.JPG,15_14_DEG_000107.JPG,NA,1,1,DEG,Pine ,,,,,,,
428,15_14_DEG_000109.JPG,15_14_DEG_000110.JPG,15_14_DEG_000111.JPG,1,1,DEG,Pine ,,,,,,,
429,15_14_DEG_000112.JPG,15_14_DEG_000113.JPG,15_14_DEG_000114.JPG,1,1,DEG,Pine ,,,,,,,
442,15_14_DEG_000118.JPG,15_14_DEG_000119.JPG,15_14_DEG_000120.JPG,1,1,DEG,Pine ,,,,,,,
443,15_14_DEG_000121.JPG,15_14_DEG_000122.JPG,15_14_DEG_000123.JPG,1,1,DEG,Pine ,,,,,,,
447,15_14_DEG_000124.JPG,15_14_DEG_000125.JPG,15_14_DEG_000126.JPG,1,1,DEG,Pine ,,,,,,,
450,15_14_DEG_000127.JPG,15_14_DEG_000128.JPG,15_14_DEG_000129.JPG,1,1,DEG,Pine ,,,,,,,
473,15_14_DEG_000130.JPG,15_14_DEG_000131.JPG,15_14_DEG_000132.JPG,1,1,DEG,Pine ,,,,,,,
555,15_14_DEG_000133.JPG,15_14_DEG_000134.JPG,15_14_DEG_000135.JPG,1,1,DEG,Pine ,,,,,,,
610,15_14_DEG_000139.JPG,15_14_DEG_000140.JPG,15_14_DEG_000141.JPG,1,1,DEG,Pine ,,,,,,,
646,15_14_DEG_000142.JPG,15_14_DEG_000143.JPG,15_14_DEG_000144.JPG,1,1,DEG,Pine ,,,,,,,
647,15_14_DEG_000145.JPG,15_14_DEG_000146.JPG,15_14_DEG_000147.JPG,1,1,DEG,Pine ,,,,,,,
