subject_ids,num_class,num_votes,agg_num_species,diff_species,choice,votes,propvote,propclass,med_count,min_count,max_count,behavior_CLIMBING,behavior_DIGGING,behavior_FLYING,behavior_FORAGINGEATING,behavior_INTERACTING,behavior_OTHER,behavior_SITTINGSTANDINGLYING,behavior_WALKINGRUNNING
31429012,3,3,1,2,DEERWHITETAILED,1,0.3333333333333333,0.3333333333333333,1,1,1,0,0,0,0,0,0,0,1
31429012,3,3,1,2,NOTHINGHERE,2,0.6666666666666666,0.6666666666666666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31429022,3,3,1,2,DEERWHITETAILED,1,0.3333333333333333,0.3333333333333333,1,1,1,0,0,0,0,0,0,0,1
31429022,3,3,1,2,SOMETHINGHERE,2,0.6666666666666666,0.6666666666666666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31429028,3,3,1,2,DEERWHITETAILED,1,0.3333333333333333,0.3333333333333333,1,1,1,0,0,0,0,0,0,1,0
31429028,3,3,1,2,SOMETHINGHERE,2,0.6666666666666666,0.6666666666666666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31429042,4,4,1,2,NOTHINGHERE,3,0.75,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31429042,4,4,1,2,SOMETHINGHERE,1,0.25,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31429043,6,6,1,2,DEERWHITETAILED,5,0.8333333333333334,0.8333333333333334,1,1,1,0,0,0,0.2,0,0,0.2,0.8
31429043,6,6,1,2,SOMETHINGHERE,1,0.16666666666666666,0.16666666666666666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31429044,5,5,1,2,DEERWHITETAILED,4,0.8,0.8,1,1,1,0,0,0,0,0,0,0,1
31429044,5,5,1,2,SOMETHINGHERE,1,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31429048,5,5,1,2,NOTHINGHERE,3,0.6,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31429048,5,5,1,2,SOMETHINGHERE,2,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31429061,7,7,1,3,COYOTE,2,0.2857142857142857,0.2857142857142857,1,1,1,0,0,0,0,0,0,0,1
31429061,7,7,1,3,DEERWHITETAILED,2,0.2857142857142857,0.2857142857142857,1,1,1,0,0,0,0,0,0,0,1
31429061,7,7,1,3,SOMETHINGHERE,3,0.42857142857142855,0.42857142857142855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31429062,5,5,1,2,DEERWHITETAILED,3,0.6,0.6,1,1,1,0,0,0,0.6666666666666666,0,0,0.6666666666666666,0
31429062,5,5,1,2,SOMETHINGHERE,2,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31429063,5,5,1,2,DEERWHITETAILED,4,0.8,0.8,1,1,1,0,0,0,0,0,0,0,1
31429063,5,5,1,2,SOMETHINGHERE,1,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31429067,5,5,1,2,NOTHINGHERE,2,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31429067,5,5,1,2,SOMETHINGHERE,3,0.6,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31429077,6,6,1,2,NOTHINGHERE,4,0.6666666666666666,0.6666666666666666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31429077,6,6,1,2,SOMETHINGHERE,2,0.3333333333333333,0.3333333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31429078,2,2,1,2,DEERWHITETAILED,1,0.5,0.5,1,1,1,0,0,0,0,1,0,0,1
31429078,2,2,1,2,SOMETHINGHERE,1,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31429080,4,4,1,2,NOTHINGHERE,3,0.75,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31429080,4,4,1,2,SOMETHINGHERE,1,0.25,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31429082,3,3,1,2,DEERWHITETAILED,2,0.6666666666666666,0.6666666666666666,1,1,1,0,0,0,0,0,0,0,1
31429082,3,3,1,2,SOMETHINGHERE,1,0.3333333333333333,0.3333333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31429112,2,2,1,2,DEERWHITETAILED,1,0.5,0.5,1,1,1,0,0,0,0,0,0,1,0
31429112,2,2,1,2,SOMETHINGHERE,1,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31429114,5,5,1,2,COYOTE,1,0.2,0.2,1,1,1,0,0,0,0,0,0,0,1
31429114,5,5,1,2,SOMETHINGHERE,4,0.8,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31429115,2,2,1,2,DEERWHITETAILED,1,0.5,0.5,1,1,1,0,0,0,0,0,0,1,0
31429115,2,2,1,2,NOTHINGHERE,1,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31429117,6,6,1,3,DEERWHITETAILED,2,0.3333333333333333,0.3333333333333333,1,1,1,0,0,0,0,0,0,0,1
31429117,6,6,1,3,NOTHINGHERE,1,0.16666666666666666,0.16666666666666666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31429117,6,6,1,3,SOMETHINGHERE,3,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31429120,3,3,1,2,COYOTE,1,0.3333333333333333,0.3333333333333333,1,1,1,0,0,0,0,0,0,0,1
31429120,3,3,1,2,DEERWHITETAILED,2,0.6666666666666666,0.6666666666666666,1,1,1,0,0,0,0,0,0,0.5,0.5
31429121,5,5,1,2,NOTHINGHERE,4,0.8,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31429121,5,5,1,2,SOMETHINGHERE,1,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31429123,5,5,1,3,DOMESTICDOG,2,0.4,0.4,1,1,1,0,0,0,0,0,0,0,1
31429123,5,5,1,3,SOMETHINGHERE,2,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31429123,5,5,1,3,SQUIRRELGRAY,1,0.2,0.2,1,1,1,1,0,0,0,0,0,0,0
31429127,4,4,1,2,NOTHINGHERE,3,0.75,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31429127,4,4,1,2,WOODCHUCK,1,0.25,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31429129,7,7,1,3,HUMAN,2,0.2857142857142857,0.2857142857142857,NA,NA,NA,0,0,0,0,0,1,0,0
31429129,7,7,1,3,NOTHINGHERE,3,0.42857142857142855,0.42857142857142855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31429129,7,7,1,3,SOMETHINGHERE,2,0.2857142857142857,0.2857142857142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31429139,5,5,1,2,FISHER,4,0.8,0.8,1,1,1,0,0,0,0,0,0,0,1
31429139,5,5,1,2,OPOSSUM,1,0.2,0.2,1,1,1,0,0,0,0,0,0,0,1
31429140,4,4,1,2,NOTHINGHERE,3,0.75,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31429140,4,4,1,2,SOMETHINGHERE,1,0.25,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31429150,3,3,1,2,DEERWHITETAILED,2,0.6666666666666666,0.6666666666666666,1,1,1,0,0,0,0,0,0,0,1
31429150,3,3,1,2,SOMETHINGHERE,1,0.3333333333333333,0.3333333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31429152,3,3,1,2,COYOTE,1,0.3333333333333333,0.3333333333333333,1,1,1,0,0,0,0,0,0,1,0
31429152,3,3,1,2,FOXRED,2,0.6666666666666666,0.6666666666666666,1,1,1,0,0,0,0,0,0,0.5,0.5
31429153,6,6,1,2,COYOTE,4,0.6666666666666666,0.6666666666666666,1,1,1,0,0,0,0,0,0,0.5,0.5
31429153,6,6,1,2,SOMETHINGHERE,2,0.3333333333333333,0.3333333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31429156,3,3,1,2,NOTHINGHERE,2,0.6666666666666666,0.6666666666666666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31429156,3,3,1,2,SOMETHINGHERE,1,0.3333333333333333,0.3333333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31429159,6,6,1,2,DEERWHITETAILED,5,0.8333333333333334,0.8333333333333334,NA,NA,NA,0,0,0,0,0,0,0,1
31429159,6,6,1,2,SOMETHINGHERE,1,0.16666666666666666,0.16666666666666666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31429161,3,3,1,2,DEERWHITETAILED,1,0.3333333333333333,0.3333333333333333,1,1,1,0,0,0,0,0,0,0,1
31429161,3,3,1,2,SOMETHINGHERE,2,0.6666666666666666,0.6666666666666666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31429169,7,7,1,2,NOTHINGHERE,6,0.8571428571428571,0.8571428571428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31429169,7,7,1,2,SOMETHINGHERE,1,0.14285714285714285,0.14285714285714285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31429170,4,4,1,2,NOTHINGHERE,2,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31429170,4,4,1,2,SOMETHINGHERE,2,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31429173,4,4,1,3,FISHER,1,0.25,0.25,1,1,1,0,0,0,0,0,0,0,1
31429173,4,4,1,3,NOTHINGHERE,2,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31429173,4,4,1,3,SOMETHINGHERE,1,0.25,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31429174,3,3,1,3,COYOTE,1,0.3333333333333333,0.3333333333333333,1,1,1,0,0,0,0,0,0,0,1
31429174,3,3,1,3,MOUNTAINLION,1,0.3333333333333333,0.3333333333333333,1,1,1,0,0,0,0,0,0,0,1
31429174,3,3,1,3,SOMETHINGHERE,1,0.3333333333333333,0.3333333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31429175,7,7,1,2,DEERWHITETAILED,6,0.8571428571428571,0.8571428571428571,1,1,1,0,0,0,0,0.16666666666666666,0,0,1
31429175,7,7,1,2,NOTHINGHERE,1,0.14285714285714285,0.14285714285714285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31429176,3,3,1,2,COYOTE,2,0.6666666666666666,0.6666666666666666,1,1,1,0,0,0,0,0,0,0,1
31429176,3,3,1,2,DEERWHITETAILED,1,0.3333333333333333,0.3333333333333333,1,1,1,0,0,0,0,0,0,0,1
31429189,4,4,1,2,NOTHINGHERE,3,0.75,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31429189,4,4,1,2,SOMETHINGHERE,1,0.25,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31429195,5,5,1,2,BLACKBEAR,1,0.2,0.2,1,1,1,0,0,0,1,0,0,0,0
31429195,5,5,1,2,FISHER,4,0.8,0.8,1,1,1,0,0,0,0.25,0,0,0.25,0.75
31429197,2,2,1,2,NOTHINGHERE,1,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31429197,2,2,1,2,SOMETHINGHERE,1,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31429213,5,5,1,2,DEERWHITETAILED,3,0.6,0.6,1,1,1,0,0,0,0.3333333333333333,0.3333333333333333,0,0.6666666666666666,0.3333333333333333
31429213,5,5,1,2,SOMETHINGHERE,2,0.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31429216,7,7,1,3,DEERWHITETAILED,2,0.2857142857142857,0.2857142857142857,1,1,1,0,0,0,0,0,0,0,1
31429216,7,7,1,3,NOTHINGHERE,1,0.14285714285714285,0.14285714285714285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31429216,7,7,1,3,SOMETHINGHERE,4,0.5714285714285714,0.5714285714285714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
